"Notes"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
"Total"	"41 weeks"	"41"	"8th month"	"08"			41	19115	2.14
	"41 weeks"	"41"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"9th month"	"09"	"2015"	"2015"	7	2593	2.70 (Unreliable)
	"41 weeks"	"41"	"9th month"	"09"	"2016"	"2016"	5	2629	1.90 (Unreliable)
	"41 weeks"	"41"	"9th month"	"09"	"2017"	"2017"	2	2608	0.77 (Unreliable)
	"41 weeks"	"41"	"9th month"	"09"	"2018"	"2018"	5	2418	2.07 (Unreliable)
"Total"	"41 weeks"	"41"	"9th month"	"09"			19	10248	1.85 (Unreliable)
	"41 weeks"	"41"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"41 weeks"	"41"	"10th month"	"10"	"2015"	"2015"	3	282	10.64 (Unreliable)
	"41 weeks"	"41"	"10th month"	"10"	"2016"	"2016"	0	243	0.00
	"41 weeks"	"41"	"10th month"	"10"	"2017"	"2017"	2	310	6.45 (Unreliable)
	"41 weeks"	"41"	"10th month"	"10"	"2018"	"2018"	1	361	2.77 (Unreliable)
"Total"	"41 weeks"	"41"	"10th month"	"10"			6	1196	5.02 (Unreliable)
"Total"	"41 weeks"	"41"					1359	931835	1.46
	"42 weeks"	"42"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"No prenatal care"	"00"	"2015"	"2015"	3	532	5.64 (Unreliable)
	"42 weeks"	"42"	"No prenatal care"	"00"	"2016"	"2016"	5	472	10.59 (Unreliable)
	"42 weeks"	"42"	"No prenatal care"	"00"	"2017"	"2017"	4	461	8.68 (Unreliable)
	"42 weeks"	"42"	"No prenatal care"	"00"	"2018"	"2018"	3	466	6.44 (Unreliable)
"Total"	"42 weeks"	"42"	"No prenatal care"	"00"			15	1931	7.77 (Unreliable)
	"42 weeks"	"42"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"1st month"	"01"	"2015"	"2015"	3	339	8.85 (Unreliable)
	"42 weeks"	"42"	"1st month"	"01"	"2016"	"2016"	1	440	2.27 (Unreliable)
	"42 weeks"	"42"	"1st month"	"01"	"2017"	"2017"	1	254	3.94 (Unreliable)
	"42 weeks"	"42"	"1st month"	"01"	"2018"	"2018"	2	224	8.93 (Unreliable)
"Total"	"42 weeks"	"42"	"1st month"	"01"			7	1257	5.57 (Unreliable)
	"42 weeks"	"42"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"2nd month"	"02"	"2015"	"2015"	8	3461	2.31 (Unreliable)
	"42 weeks"	"42"	"2nd month"	"02"	"2016"	"2016"	8	3049	2.62 (Unreliable)
	"42 weeks"	"42"	"2nd month"	"02"	"2017"	"2017"	4	2752	1.45 (Unreliable)
	"42 weeks"	"42"	"2nd month"	"02"	"2018"	"2018"	5	2345	2.13 (Unreliable)
"Total"	"42 weeks"	"42"	"2nd month"	"02"			25	11607	2.15
	"42 weeks"	"42"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"3rd month"	"03"	"2015"	"2015"	12	4568	2.63 (Unreliable)
	"42 weeks"	"42"	"3rd month"	"03"	"2016"	"2016"	11	4023	2.73 (Unreliable)
	"42 weeks"	"42"	"3rd month"	"03"	"2017"	"2017"	12	3899	3.08 (Unreliable)
	"42 weeks"	"42"	"3rd month"	"03"	"2018"	"2018"	15	3522	4.26 (Unreliable)
"Total"	"42 weeks"	"42"	"3rd month"	"03"			50	16012	3.12
	"42 weeks"	"42"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"4th month"	"04"	"2015"	"2015"	5	1768	2.83 (Unreliable)
	"42 weeks"	"42"	"4th month"	"04"	"2016"	"2016"	8	1534	5.22 (Unreliable)
	"42 weeks"	"42"	"4th month"	"04"	"2017"	"2017"	5	1543	3.24 (Unreliable)
	"42 weeks"	"42"	"4th month"	"04"	"2018"	"2018"	9	1398	6.44 (Unreliable)
"Total"	"42 weeks"	"42"	"4th month"	"04"			27	6243	4.32
	"42 weeks"	"42"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"5th month"	"05"	"2015"	"2015"	6	879	6.83 (Unreliable)
	"42 weeks"	"42"	"5th month"	"05"	"2016"	"2016"	2	804	2.49 (Unreliable)
	"42 weeks"	"42"	"5th month"	"05"	"2017"	"2017"	0	754	0.00
	"42 weeks"	"42"	"5th month"	"05"	"2018"	"2018"	5	703	7.11 (Unreliable)
"Total"	"42 weeks"	"42"	"5th month"	"05"			13	3140	4.14 (Unreliable)
	"42 weeks"	"42"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"6th month"	"06"	"2015"	"2015"	3	642	4.67 (Unreliable)
	"42 weeks"	"42"	"6th month"	"06"	"2016"	"2016"	3	531	5.65 (Unreliable)
	"42 weeks"	"42"	"6th month"	"06"	"2017"	"2017"	8	502	15.94 (Unreliable)
	"42 weeks"	"42"	"6th month"	"06"	"2018"	"2018"	2	465	4.30 (Unreliable)
"Total"	"42 weeks"	"42"	"6th month"	"06"			16	2140	7.48 (Unreliable)
	"42 weeks"	"42"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"7th month"	"07"	"2015"	"2015"	4	580	6.90 (Unreliable)
	"42 weeks"	"42"	"7th month"	"07"	"2016"	"2016"	3	491	6.11 (Unreliable)
	"42 weeks"	"42"	"7th month"	"07"	"2017"	"2017"	2	412	4.85 (Unreliable)
	"42 weeks"	"42"	"7th month"	"07"	"2018"	"2018"	3	402	7.46 (Unreliable)
"Total"	"42 weeks"	"42"	"7th month"	"07"			12	1885	6.37 (Unreliable)
	"42 weeks"	"42"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"8th month"	"08"	"2015"	"2015"	0	429	0.00
	"42 weeks"	"42"	"8th month"	"08"	"2016"	"2016"	3	416	7.21 (Unreliable)
	"42 weeks"	"42"	"8th month"	"08"	"2017"	"2017"	4	368	10.87 (Unreliable)
	"42 weeks"	"42"	"8th month"	"08"	"2018"	"2018"	2	339	5.90 (Unreliable)
"Total"	"42 weeks"	"42"	"8th month"	"08"			9	1552	5.80 (Unreliable)
	"42 weeks"	"42"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"9th month"	"09"	"2015"	"2015"	2	279	7.17 (Unreliable)
	"42 weeks"	"42"	"9th month"	"09"	"2016"	"2016"	0	241	0.00
	"42 weeks"	"42"	"9th month"	"09"	"2017"	"2017"	1	194	5.15 (Unreliable)
	"42 weeks"	"42"	"9th month"	"09"	"2018"	"2018"	0	208	0.00
"Total"	"42 weeks"	"42"	"9th month"	"09"			3	922	3.25 (Unreliable)
	"42 weeks"	"42"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"42 weeks"	"42"	"10th month"	"10"	"2015"	"2015"	0	48	0.00
	"42 weeks"	"42"	"10th month"	"10"	"2016"	"2016"	0	58	0.00
	"42 weeks"	"42"	"10th month"	"10"	"2017"	"2017"	1	60	16.67 (Unreliable)
	"42 weeks"	"42"	"10th month"	"10"	"2018"	"2018"	0	58	0.00
"Total"	"42 weeks"	"42"	"10th month"	"10"			1	224	4.46 (Unreliable)
"Total"	"42 weeks"	"42"					179	46913	3.82
	"43 weeks"	"43"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"No prenatal care"	"00"	"2015"	"2015"	0	107	0.00
	"43 weeks"	"43"	"No prenatal care"	"00"	"2016"	"2016"	2	79	25.32 (Unreliable)
	"43 weeks"	"43"	"No prenatal care"	"00"	"2017"	"2017"	2	85	23.53 (Unreliable)
	"43 weeks"	"43"	"No prenatal care"	"00"	"2018"	"2018"	1	93	10.75 (Unreliable)
"Total"	"43 weeks"	"43"	"No prenatal care"	"00"			5	364	13.74 (Unreliable)
	"43 weeks"	"43"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"1st month"	"01"	"2015"	"2015"	0	20	0.00
	"43 weeks"	"43"	"1st month"	"01"	"2016"	"2016"	1	58	17.24 (Unreliable)
	"43 weeks"	"43"	"1st month"	"01"	"2017"	"2017"	0	16	0.00
	"43 weeks"	"43"	"1st month"	"01"	"2018"	"2018"	0	14	0.00
"Total"	"43 weeks"	"43"	"1st month"	"01"			1	108	9.26 (Unreliable)
	"43 weeks"	"43"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"2nd month"	"02"	"2015"	"2015"	2	92	21.74 (Unreliable)
	"43 weeks"	"43"	"2nd month"	"02"	"2016"	"2016"	1	96	10.42 (Unreliable)
	"43 weeks"	"43"	"2nd month"	"02"	"2017"	"2017"	0	71	0.00
	"43 weeks"	"43"	"2nd month"	"02"	"2018"	"2018"	0	58	0.00
"Total"	"43 weeks"	"43"	"2nd month"	"02"			3	317	9.46 (Unreliable)
	"43 weeks"	"43"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"3rd month"	"03"	"2015"	"2015"	1	257	3.89 (Unreliable)
	"43 weeks"	"43"	"3rd month"	"03"	"2016"	"2016"	1	204	4.90 (Unreliable)
	"43 weeks"	"43"	"3rd month"	"03"	"2017"	"2017"	1	163	6.13 (Unreliable)
	"43 weeks"	"43"	"3rd month"	"03"	"2018"	"2018"	1	134	7.46 (Unreliable)
"Total"	"43 weeks"	"43"	"3rd month"	"03"			4	758	5.28 (Unreliable)
	"43 weeks"	"43"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"4th month"	"04"	"2015"	"2015"	1	117	8.55 (Unreliable)
	"43 weeks"	"43"	"4th month"	"04"	"2016"	"2016"	1	102	9.80 (Unreliable)
	"43 weeks"	"43"	"4th month"	"04"	"2017"	"2017"	0	104	0.00
	"43 weeks"	"43"	"4th month"	"04"	"2018"	"2018"	0	101	0.00
"Total"	"43 weeks"	"43"	"4th month"	"04"			2	424	4.72 (Unreliable)
	"43 weeks"	"43"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"5th month"	"05"	"2015"	"2015"	1	75	13.33 (Unreliable)
	"43 weeks"	"43"	"5th month"	"05"	"2016"	"2016"	0	54	0.00
	"43 weeks"	"43"	"5th month"	"05"	"2017"	"2017"	1	56	17.86 (Unreliable)
	"43 weeks"	"43"	"5th month"	"05"	"2018"	"2018"	1	42	23.81 (Unreliable)
"Total"	"43 weeks"	"43"	"5th month"	"05"			3	227	13.22 (Unreliable)
	"43 weeks"	"43"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"6th month"	"06"	"2015"	"2015"	0	63	0.00
	"43 weeks"	"43"	"6th month"	"06"	"2016"	"2016"	0	37	0.00
	"43 weeks"	"43"	"6th month"	"06"	"2017"	"2017"	0	40	0.00
	"43 weeks"	"43"	"6th month"	"06"	"2018"	"2018"	1	45	22.22 (Unreliable)
"Total"	"43 weeks"	"43"	"6th month"	"06"			1	185	5.41 (Unreliable)
	"43 weeks"	"43"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"43 weeks"	"43"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
