Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI,State
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,827,2.2,(1.3-3.7),Vermont
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,859,2.8,(1.8-4.3),Vermont
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,770,2.4,(1.5-3.9),Vermont
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,893,2.0,(1.2-3.3),Vermont
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,824,1.7,(1.0-3.1),Vermont
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,853,2.0,(1.2-3.4),Vermont
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,766,1.3,(0.7-2.6),Vermont
Depression,Self-reported depression in the 3 months before pregnancy,,2016,918,20.3,(17.7-23.1),Vermont
Depression,Self-reported depression in the 3 months before pregnancy,,2017,844,19.7,(17.0-22.7),Vermont
Depression,Self-reported depression in the 3 months before pregnancy,,2018,875,24.2,(21.3-27.3),Vermont
Depression,Self-reported depression in the 3 months before pregnancy,,2019,781,20.1,(17.3-23.3),Vermont
Depression,Self-reported depression during pregnancy,,2016,894,17.2,(14.8-20.0),Vermont
Depression,Self-reported depression during pregnancy,,2017,833,15.1,(12.7-17.8),Vermont
Depression,Self-reported depression during pregnancy,,2018,859,20.2,(17.5-23.2),Vermont
Depression,Self-reported depression during pregnancy,,2019,769,19.0,(16.2-22.1),Vermont
Depression,Self-reported postpartum depressive symptoms,,2016,905,12.7,(10.6-15.1),Vermont
Depression,Self-reported postpartum depressive symptoms,,2017,831,11.5,(9.4-14.0),Vermont
Depression,Self-reported postpartum depressive symptoms,,2018,848,10.7,(8.7-13.1),Vermont
Depression,Self-reported postpartum depressive symptoms,,2019,760,10.0,(7.9-12.5),Vermont
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,913,79.2,(76.3-81.8),Vermont
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,840,77.0,(73.8-80.0),Vermont
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,874,79.2,(76.2-81.8),Vermont
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,781,78.4,(75.2-81.4),Vermont
Health Care Services,Began prenatal care in 1st trimester,,2016,897,92.6,(90.6-94.2),Vermont
Health Care Services,Began prenatal care in 1st trimester,,2017,826,95.1,(93.2-96.4),Vermont
Health Care Services,Began prenatal care in 1st trimester,,2018,849,91.0,(88.8-92.9),Vermont
Health Care Services,Began prenatal care in 1st trimester,,2019,766,94.6,(92.6-96.1),Vermont
Health Care Services,Had a flu shot in the 12 months before birth,,2016,897,65.7,(62.5-68.9),Vermont
Health Care Services,Had a flu shot in the 12 months before birth,,2017,822,70.2,(66.8-73.4),Vermont
Health Care Services,Had a flu shot in the 12 months before birth,,2018,855,67.6,(64.3-70.8),Vermont
Health Care Services,Had a flu shot in the 12 months before birth,,2019,769,72.1,(68.7-75.3),Vermont
Health Care Services,Had maternal postpartum checkup,,2016,911,93.1,(91.2-94.6),Vermont
Health Care Services,Had maternal postpartum checkup,,2017,830,93.7,(91.4-95.4),Vermont
Health Care Services,Had maternal postpartum checkup,,2018,852,91.9,(89.6-93.6),Vermont
Health Care Services,Had maternal postpartum checkup,,2019,761,94.9,(93.0-96.4),Vermont
Pregnancy Intention,Mistimed,,2016,900,17.0,(14.6-19.8),Vermont
Pregnancy Intention,Mistimed,,2017,831,14.8,(12.4-17.7),Vermont
Pregnancy Intention,Mistimed,,2018,849,15.6,(13.1-18.4),Vermont
Pregnancy Intention,Mistimed,,2019,764,12.1,(9.8-14.8),Vermont
Pregnancy Intention,Unwanted pregnancy,,2016,900,5.6,(4.2-7.5),Vermont
Pregnancy Intention,Unwanted pregnancy,,2017,831,4.5,(3.2-6.2),Vermont
Pregnancy Intention,Unwanted pregnancy,,2018,849,5.5,(4.1-7.4),Vermont
Pregnancy Intention,Unwanted pregnancy,,2019,764,4.6,(3.3-6.4),Vermont
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,900,14.4,(12.2-16.9),Vermont
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,831,14.0,(11.7-16.7),Vermont
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,849,13.0,(10.8-15.6),Vermont
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,764,16.3,(13.7-19.3),Vermont
Pregnancy Intention,Intended pregnancy,,2016,900,63.0,(59.6-66.2),Vermont
Pregnancy Intention,Intended pregnancy,,2017,831,66.7,(63.2-70.0),Vermont
Pregnancy Intention,Intended pregnancy,,2018,849,65.9,(62.5-69.2),Vermont
Pregnancy Intention,Intended pregnancy,,2019,764,66.9,(63.3-70.3),Vermont
Postpartum Family Planning,Use of any postpartum contraception,,2016,898,83.5,(80.9-85.8),Vermont
Postpartum Family Planning,Use of any postpartum contraception,,2017,814,83.6,(80.8-86.0),Vermont
Postpartum Family Planning,Use of any postpartum contraception,,2018,838,81.1,(78.3-83.7),Vermont
Postpartum Family Planning,Use of any postpartum contraception,,2019,750,81.9,(78.9-84.6),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,898,11.5,(9.5-13.9),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,814,12.7,(10.4-15.3),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,838,11.4,(9.3-13.8),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,750,11.8,(9.5-14.4),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,898,25.7,(22.8-28.7),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,814,28.2,(25.1-31.5),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,838,27.1,(24.1-30.3),Vermont
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,750,26.7,(23.5-30.1),Vermont
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,898,20.3,(17.7-23.1),Vermont
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,814,21.5,(18.7-24.6),Vermont
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,838,21.9,(19.1-24.9),Vermont
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,750,22.6,(19.6-25.8),Vermont
Postpartum Family Planning,Least effective contraceptive methods,,2016,898,26.1,(23.3-29.1),Vermont
Postpartum Family Planning,Least effective contraceptive methods,,2017,814,21.2,(18.5-24.2),Vermont
Postpartum Family Planning,Least effective contraceptive methods,,2018,838,20.8,(18.1-23.7),Vermont
Postpartum Family Planning,Least effective contraceptive methods,,2019,750,20.9,(18.1-24.0),Vermont
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2016,908,59.9,(56.6-63.1),Vermont
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,839,58.7,(55.2-62.2),Vermont
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,863,62.7,(59.3-66.0),Vermont
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,777,60.8,(57.2-64.3),Vermont
Health Insurance Status One Month Before Pregnancy,Private insurance,,2016,893,67.7,(64.4-70.8),Vermont
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,821,63.9,(60.3-67.4),Vermont
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,837,65.9,(62.5-69.2),Vermont
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,760,66.6,(62.9-70.1),Vermont
Health Insurance Status One Month Before Pregnancy,Medicaid,,2016,893,27.4,(24.4-30.6),Vermont
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,821,30.2,(26.9-33.7),Vermont
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,837,28.5,(25.3-31.8),Vermont
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,760,27.5,(24.2-31.1),Vermont
Health Insurance Status One Month Before Pregnancy,No insurance,,2016,893,4.9,(3.6-6.7),Vermont
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,821,5.9,(4.4-8.0),Vermont
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,837,5.6,(4.1-7.5),Vermont
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,760,5.9,(4.3-8.0),Vermont
Health Insurance Status for Prenatal Care,Private insurance,,2016,873,62.9,(59.6-66.2),Vermont
Health Insurance Status for Prenatal Care,Private insurance,,2017,797,58.7,(55.1-62.3),Vermont
Health Insurance Status for Prenatal Care,Private insurance,,2018,809,63.9,(60.3-67.3),Vermont
Health Insurance Status for Prenatal Care,Private insurance,,2019,742,62.0,(58.3-65.7),Vermont
Health Insurance Status for Prenatal Care,Medicaid,,2016,873,36.5,(33.2-39.9),Vermont
Health Insurance Status for Prenatal Care,Medicaid,,2017,797,40.5,(36.9-44.2),Vermont
Health Insurance Status for Prenatal Care,Medicaid,,2018,809,34.7,(31.3-38.2),Vermont
Health Insurance Status for Prenatal Care,Medicaid,,2019,742,37.0,(33.4-40.7),Vermont
Health Insurance Status for Prenatal Care,No insurance,,2016,873,0.6,(0.2-1.6),Vermont
Health Insurance Status for Prenatal Care,No insurance,,2017,797,0.8,(0.3-2.0),Vermont
Health Insurance Status for Prenatal Care,No insurance,,2018,809,1.4,(0.7-2.8),Vermont
Health Insurance Status for Prenatal Care,No insurance,,2019,742,1.0,(0.4-2.2),Vermont
Health Insurance Status Postpartum,Private insurance,,2016,898,59.5,(56.2-62.8),Vermont
Health Insurance Status Postpartum,Private insurance,,2017,821,57.4,(53.8-60.9),Vermont
Health Insurance Status Postpartum,Private insurance,,2018,839,58.8,(55.3-62.2),Vermont
Health Insurance Status Postpartum,Private insurance,,2019,760,60.7,(57.0-64.3),Vermont
Health Insurance Status Postpartum,Medicaid,,2016,898,38.4,(35.1-41.7),Vermont
Health Insurance Status Postpartum,Medicaid,,2017,821,40.2,(36.7-43.8),Vermont
Health Insurance Status Postpartum,Medicaid,,2018,839,36.9,(33.6-40.4),Vermont
Health Insurance Status Postpartum,Medicaid,,2019,760,36.8,(33.2-40.5),Vermont
Health Insurance Status Postpartum,No insurance,,2016,898,2.1,(1.3-3.4),Vermont
Health Insurance Status Postpartum,No insurance,,2017,821,2.4,(1.5-3.9),Vermont
Health Insurance Status Postpartum,No insurance,,2018,839,4.3,(3.0-6.2),Vermont
Health Insurance Status Postpartum,No insurance,,2019,760,2.5,(1.6-3.9),Vermont
Infant Sleep Practices,Baby most often laid on back to sleep,,2016,896,85.0,(82.3-87.2),Vermont
Infant Sleep Practices,Baby most often laid on back to sleep,,2017,828,87.8,(85.3-89.9),Vermont
Infant Sleep Practices,Baby most often laid on back to sleep,,2018,848,89.0,(86.6-91.0),Vermont
Infant Sleep Practices,Baby most often laid on back to sleep,,2019,761,90.2,(87.7-92.3),Vermont
Breastfeeding Practices,Ever breastfed,,2016,899,93.2,(91.2-94.7),Vermont
Breastfeeding Practices,Ever breastfed,,2017,834,92.2,(89.8-94.0),Vermont
Breastfeeding Practices,Ever breastfed,,2018,850,92.9,(90.8-94.5),Vermont
Breastfeeding Practices,Ever breastfed,,2019,769,92.8,(90.5-94.5),Vermont
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2016,890,77.4,(74.4-80.2),Vermont
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2017,827,76.9,(73.6-79.8),Vermont
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2018,845,78.0,(74.9-80.9),Vermont
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2019,763,79.5,(76.2-82.3),Vermont
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,676,45.5,(40.7-50.3),Virginia
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1072,43.3,(38.6-48.2),Virginia
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1140,43.3,(38.6-48.1),Virginia
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,986,43.4,(38.5-48.4),Virginia
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,624,1.4,(0.6-2.8),Virginia
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,989,2.7,(1.5-4.9),Virginia
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1063,4.6,(2.9-7.2),Virginia
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,924,1.3,(0.6-2.8),Virginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,624,25.8,(21.6-30.4),Virginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,989,24.7,(20.5-29.4),Virginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1063,24.7,(20.7-29.2),Virginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,924,23.6,(19.5-28.2),Virginia
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,624,23.6,(19.6-28.2),Virginia
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,989,26.6,(22.3-31.5),Virginia
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1063,26.0,(21.7-30.8),Virginia
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,924,27.6,(23.2-32.4),Virginia
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,671,16.2,(13.0-20.2),Virginia
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1062,16.3,(12.9-20.4),Virginia
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1136,15.3,(11.9-19.4),Virginia
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,973,16.8,(13.2-21.1),Virginia
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,671,5.7,(3.8-8.4),Virginia
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1068,6.3,(4.3-9.3),Virginia
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1142,4.2,(2.6-6.7),Virginia
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,973,7.6,(5.1-11.0),Virginia
Substance Use,Any cigarette smoking,Postpartum,2016,670,9.6,(7.1-12.9),Virginia
Substance Use,Any cigarette smoking,Postpartum,2017,1068,8.5,(6.0-11.7),Virginia
Substance Use,Any cigarette smoking,Postpartum,2018,1137,7.1,(4.9-10.1),Virginia
Substance Use,Any cigarette smoking,Postpartum,2019,973,11.0,(8.0-14.8),Virginia
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,667,3.9,(2.5-6.2),Virginia
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1068,3.8,(2.2-6.3),Virginia
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1132,2.4,(1.2-4.6),Virginia
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,971,4.6,(2.9-7.2),Virginia
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,669,1.1,(0.4-2.6),Virginia
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1069,0.9,(0.3-2.8),Virginia
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1133,0.1,(0.0-0.1),Virginia
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,972,0.8,(0.3-2.4),Virginia
Substance Use,Hookah use in the last 2 years,,2016,665,6.5,(4.5-9.5),Virginia
Substance Use,Hookah use in the last 2 years,,2017,1058,5.5,(3.6-8.4),Virginia
Substance Use,Hookah use in the last 2 years,,2018,1123,5.1,(3.3-8.0),Virginia
Substance Use,Hookah use in the last 2 years,,2019,964,5.5,(3.6-8.3),Virginia
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,662,2.4,(1.3-4.3),Virginia
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1063,2.5,(1.4-4.4),Virginia
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,1127,1.9,(1.0-3.5),Virginia
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,978,3.8,(2.2-6.2),Virginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,667,2.1,(1.0-4.0),Virginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1062,3.1,(1.7-5.6),Virginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1130,2.1,(1.0-4.3),Virginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,974,2.8,(1.4-5.3),Virginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,667,2.1,(1.0-4.2),Virginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1056,2.8,(1.5-5.1),Virginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1129,1.9,(0.8-4.1),Virginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,975,2.6,(1.3-5.2),Virginia
Depression,Self-reported depression in the 3 months before pregnancy,,2016,664,10.6,(8.0-13.9),Virginia
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1064,9.1,(6.6-12.4),Virginia
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1140,12.0,(9.2-15.6),Virginia
Depression,Self-reported depression in the 3 months before pregnancy,,2019,981,16.5,(12.9-20.8),Virginia
Depression,Self-reported depression during pregnancy,,2016,662,9.4,(7.0-12.5),Virginia
Depression,Self-reported depression during pregnancy,,2017,1055,8.9,(6.5-12.2),Virginia
Depression,Self-reported depression during pregnancy,,2018,1134,10.7,(8.0-14.2),Virginia
Depression,Self-reported depression during pregnancy,,2019,964,17.3,(13.6-21.7),Virginia
Depression,Self-reported postpartum depressive symptoms,,2016,665,12.9,(10.0-16.5),Virginia
Depression,Self-reported postpartum depressive symptoms,,2017,1064,12.4,(9.4-16.2),Virginia
Depression,Self-reported postpartum depressive symptoms,,2018,1126,13.5,(10.5-17.2),Virginia
Depression,Self-reported postpartum depressive symptoms,,2019,963,14.6,(11.3-18.7),Virginia
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,662,64.0,(59.1-68.6),Virginia
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,1057,63.1,(58.2-67.8),Virginia
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,1135,65.6,(60.7-70.2),Virginia
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,978,65.9,(60.9-70.6),Virginia
Health Care Services,Began prenatal care in 1st trimester,,2016,661,88.0,(84.5-90.8),Virginia
Health Care Services,Began prenatal care in 1st trimester,,2017,1063,84.4,(80.4-87.7),Virginia
Health Care Services,Began prenatal care in 1st trimester,,2018,1126,90.6,(87.4-93.1),Virginia
Health Care Services,Began prenatal care in 1st trimester,,2019,965,85.9,(81.7-89.2),Virginia
Health Care Services,Had a flu shot in the 12 months before birth,,2016,649,61.2,(56.2-65.8),Virginia
Health Care Services,Had a flu shot in the 12 months before birth,,2017,1053,64.7,(59.8-69.3),Virginia
Health Care Services,Had a flu shot in the 12 months before birth,,2018,1126,57.1,(52.2-61.9),Virginia
Health Care Services,Had a flu shot in the 12 months before birth,,2019,973,66.0,(61.0-70.6),Virginia
Health Care Services,Had maternal postpartum checkup,,2016,669,90.2,(87.0-92.7),Virginia
Health Care Services,Had maternal postpartum checkup,,2017,1070,89.6,(86.2-92.3),Virginia
Health Care Services,Had maternal postpartum checkup,,2018,1133,90.2,(86.8-92.8),Virginia
Health Care Services,Had maternal postpartum checkup,,2019,975,91.1,(87.6-93.7),Virginia
Pregnancy Intention,Mistimed,,2016,665,15.4,(12.2-19.4),Virginia
Pregnancy Intention,Mistimed,,2017,1057,17.3,(13.8-21.5),Virginia
Pregnancy Intention,Mistimed,,2018,1127,18.4,(14.8-22.6),Virginia
Pregnancy Intention,Mistimed,,2019,972,21.0,(17.0-25.5),Virginia
Pregnancy Intention,Unwanted pregnancy,,2016,665,6.2,(4.1-9.2),Virginia
Pregnancy Intention,Unwanted pregnancy,,2017,1057,5.9,(4.0-8.6),Virginia
Pregnancy Intention,Unwanted pregnancy,,2018,1127,6.9,(4.8-10.0),Virginia
Pregnancy Intention,Unwanted pregnancy,,2019,972,6.1,(4.1-9.2),Virginia
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,665,18.4,(14.9-22.6),Virginia
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,1057,12.7,(9.7-16.3),Virginia
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,1127,15.4,(12.1-19.3),Virginia
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,972,13.0,(9.9-16.9),Virginia
Pregnancy Intention,Intended pregnancy,,2016,665,60.0,(55.1-64.7),Virginia
Pregnancy Intention,Intended pregnancy,,2017,1057,64.1,(59.3-68.7),Virginia
Pregnancy Intention,Intended pregnancy,,2018,1127,59.3,(54.4-64.1),Virginia
Pregnancy Intention,Intended pregnancy,,2019,972,59.8,(54.7-64.7),Virginia
Postpartum Family Planning,Use of any postpartum contraception,,2016,658,77.6,(73.3-81.4),Virginia
Postpartum Family Planning,Use of any postpartum contraception,,2017,1047,81.9,(77.9-85.4),Virginia
Postpartum Family Planning,Use of any postpartum contraception,,2018,1119,74.3,(69.9-78.3),Virginia
Postpartum Family Planning,Use of any postpartum contraception,,2019,949,74.7,(69.9-78.9),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,658,12.3,(9.5-15.8),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,1047,9.2,(6.8-12.5),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,1119,11.6,(8.8-15.2),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,949,10.3,(7.5-13.9),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,658,16.9,(13.4-21.0),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,1047,17.8,(14.3-21.9),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,1119,16.0,(12.7-19.9),Virginia
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,949,14.6,(11.4-18.5),Virginia
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,658,25.3,(21.3-29.9),Virginia
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,1047,29.8,(25.4-34.6),Virginia
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,1119,22.7,(18.9-27.1),Virginia
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,949,26.7,(22.3-31.5),Virginia
Postpartum Family Planning,Least effective contraceptive methods,,2016,658,23.1,(19.3-27.4),Virginia
Postpartum Family Planning,Least effective contraceptive methods,,2017,1047,25.1,(21.1-29.6),Virginia
Postpartum Family Planning,Least effective contraceptive methods,,2018,1119,24.0,(20.2-28.4),Virginia
Postpartum Family Planning,Least effective contraceptive methods,,2019,949,23.1,(19.1-27.7),Virginia
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2016,674,44.7,(40.0-49.6),Virginia
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,1078,52.2,(47.4-57.1),Virginia
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,1143,49.9,(45.1-54.7),Virginia
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,983,48.4,(43.4-53.4),Virginia
Health Insurance Status One Month Before Pregnancy,Private insurance,,2016,642,69.9,(65.0-74.3),Virginia
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,1036,72.1,(67.4-76.4),Virginia
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,1091,74.6,(69.9-78.7),Virginia
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,924,70.3,(65.2-74.9),Virginia
Health Insurance Status One Month Before Pregnancy,Medicaid,,2016,642,11.4,(8.5-15.1),Virginia
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,1036,11.7,(8.8-15.4),Virginia
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,1091,12.0,(9.0-15.9),Virginia
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,924,15.1,(11.6-19.5),Virginia
Health Insurance Status One Month Before Pregnancy,No insurance,,2016,642,18.8,(15.2-23.0),Virginia
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,1036,16.2,(12.8-20.2),Virginia
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,1091,13.4,(10.4-17.1),Virginia
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,924,14.6,(11.3-18.8),Virginia
Health Insurance Status for Prenatal Care,Private insurance,,2016,589,65.1,(59.9-69.9),Virginia
Health Insurance Status for Prenatal Care,Private insurance,,2017,989,71.2,(66.3-75.7),Virginia
Health Insurance Status for Prenatal Care,Private insurance,,2018,1043,74.8,(70.0-79.1),Virginia
Health Insurance Status for Prenatal Care,Private insurance,,2019,895,66.4,(61.1-71.3),Virginia
Health Insurance Status for Prenatal Care,Medicaid,,2016,589,30.4,(25.8-35.5),Virginia
Health Insurance Status for Prenatal Care,Medicaid,,2017,989,23.7,(19.5-28.4),Virginia
Health Insurance Status for Prenatal Care,Medicaid,,2018,1043,21.4,(17.4-26.1),Virginia
Health Insurance Status for Prenatal Care,Medicaid,,2019,895,30.2,(25.4-35.4),Virginia
Health Insurance Status for Prenatal Care,No insurance,,2016,589,4.5,(2.8-7.1),Virginia
Health Insurance Status for Prenatal Care,No insurance,,2017,989,5.1,(3.3-7.8),Virginia
Health Insurance Status for Prenatal Care,No insurance,,2018,1043,3.7,(2.2-6.3),Virginia
Health Insurance Status for Prenatal Care,No insurance,,2019,895,3.4,(1.9-6.0),Virginia
Health Insurance Status Postpartum,Private insurance,,2016,632,66.0,(61.0-70.6),Virginia
Health Insurance Status Postpartum,Private insurance,,2017,1013,66.0,(61.0-70.6),Virginia
Health Insurance Status Postpartum,Private insurance,,2018,1069,70.3,(65.3-74.8),Virginia
Health Insurance Status Postpartum,Private insurance,,2019,899,64.6,(59.3-69.5),Virginia
Health Insurance Status Postpartum,Medicaid,,2016,632,16.0,(12.6-20.1),Virginia
Health Insurance Status Postpartum,Medicaid,,2017,1013,15.2,(11.9-19.3),Virginia
Health Insurance Status Postpartum,Medicaid,,2018,1069,17.4,(13.7-21.8),Virginia
Health Insurance Status Postpartum,Medicaid,,2019,899,24.5,(20.2-29.5),Virginia
Health Insurance Status Postpartum,No insurance,,2016,632,18.0,(14.4-22.2),Virginia
Health Insurance Status Postpartum,No insurance,,2017,1013,18.8,(15.1-23.1),Virginia
