Category,Indicator,Year,SampleSize,Prevalence,CI,State
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,1164,11.4,(9.3-14.0),Washington
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1202,14.0,(11.8-16.5),Washington
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,993,2.5,(1.4-4.3),Washington
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1070,1.9,(1.1-3.2),Washington
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,1166,1.5,(0.9-2.6),Washington
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1205,1.5,(0.9-2.7),Washington
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,993,1.6,(0.8-3.2),Washington
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1069,1.2,(0.6-2.1),Washington
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,1166,1.4,(0.7-2.5),Washington
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1203,2.0,(1.2-3.4),Washington
Depression,Told by a provider had depression before pregnancy,2012,996,10.0,(7.7-12.7),Washington
Depression,Told by a provider had depression before pregnancy,2013,1072,8.7,(6.8-11.1),Washington
Depression,Told by a provider had depression before pregnancy,2014,1174,10.9,(8.8-13.4),Washington
Depression,Told by a provider had depression before pregnancy,2015,1213,11.6,(9.6-14.1),Washington
Depression,Self-reported postpartum depressive symptoms,2012,965,10.2,(8.1-12.7),Washington
Depression,Self-reported postpartum depressive symptoms,2013,1045,11.1,(9.0-13.7),Washington
Depression,Self-reported postpartum depressive symptoms,2014,1135,12.5,(10.4-15.0),Washington
Depression,Self-reported postpartum depressive symptoms,2015,1169,11.1,(9.1-13.4),Washington
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,855,31.7,(27.9-35.7),Washington
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,893,25.6,(22.3-29.2),Washington
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,967,25.5,(22.3-29.0),Washington
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,1005,30.0,(26.7-33.5),Washington
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,984,11.3,(9.0-14.2),Washington
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1055,11.8,(9.6-14.3),Washington
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,1153,15.1,(12.7-17.9),Washington
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1194,14.7,(12.5-17.4),Washington
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,987,80.6,(77.2-83.6),Washington
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1067,82.8,(79.9-85.4),Washington
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,1157,82.3,(79.5-84.8),Washington
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1193,81.6,(78.8-84.1),Washington
Health Care Services,Talked to provider about improving health before pregnancy,2012,997,25.9,(22.6-29.4),Washington
Health Care Services,Talked to provider about improving health before pregnancy,2013,1075,23.9,(20.9-27.2),Washington
Health Care Services,Talked to provider about improving health before pregnancy,2014,1180,23.6,(20.7-26.6),Washington
Health Care Services,Talked to provider about improving health before pregnancy,2015,1216,21.4,(18.8-24.2),Washington
Health Care Services,Began prenatal care in 1st trimester,2012,973,86.3,(83.4-88.9),Washington
Health Care Services,Began prenatal care in 1st trimester,2013,1051,89.4,(86.9-91.4),Washington
Health Care Services,Began prenatal care in 1st trimester,2014,1152,88.3,(85.8-90.4),Washington
Health Care Services,Began prenatal care in 1st trimester,2015,1182,86.9,(84.4-89.0),Washington
Health Care Services,Took childbirth class,2012,994,27.9,(24.6-31.4),Washington
Health Care Services,Took childbirth class,2013,1069,28.3,(25.1-31.7),Washington
Health Care Services,Took childbirth class,2014,1169,27.3,(24.2-30.5),Washington
Health Care Services,Took childbirth class,2015,1207,26.1,(23.2-29.2),Washington
Health Care Services,Had home visitor during pregnancy,2012,994,11.0,(8.8-13.7),Washington
Health Care Services,Had home visitor during pregnancy,2013,1069,10.4,(8.5-12.7),Washington
Health Care Services,Had home visitor during pregnancy,2014,1167,11.2,(9.2-13.6),Washington
Health Care Services,Had home visitor during pregnancy,2015,1209,11.4,(9.5-13.6),Washington
Health Care Services,Had flu shot before or during pregnancy,2012,957,61.0,(56.9-64.8),Washington
Health Care Services,Had flu shot before or during pregnancy,2013,1038,62.5,(58.7-66.1),Washington
Health Care Services,Had flu shot before or during pregnancy,2014,1140,66.5,(63.0-69.8),Washington
Health Care Services,Had flu shot before or during pregnancy,2015,1171,65.0,(61.5-68.2),Washington
Health Care Services,Had maternal postpartum checkup,2012,985,90.6,(87.7-92.8),Washington
Health Care Services,Had maternal postpartum checkup,2013,1067,92.2,(90.1-93.9),Washington
Health Care Services,Had maternal postpartum checkup,2014,1159,91.9,(89.8-93.6),Washington
Health Care Services,Had maternal postpartum checkup,2015,1199,90.5,(88.3-92.3),Washington
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,1003,62.6,(58.8-66.2),Washington
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1072,59.6,(56.0-63.2),Washington
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1172,62.4,(58.9-65.7),Washington
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1210,62.1,(58.7-65.3),Washington
Oral Health,Teeth cleaned during pregnancy,2012,987,64.6,(60.7-68.3),Washington
Oral Health,Teeth cleaned during pregnancy,2013,1061,58.5,(54.8-62.1),Washington
Oral Health,Teeth cleaned during pregnancy,2014,1156,58.0,(54.5-61.5),Washington
Oral Health,Teeth cleaned during pregnancy,2015,1194,59.0,(55.5-62.3),Washington
Oral Health,Had dental insurance during pregnancy,2012,967,83.3,(80.0-86.2),Washington
Oral Health,Had dental insurance during pregnancy,2013,1040,83.5,(80.5-86.1),Washington
Oral Health,Had dental insurance during pregnancy,2014,1133,82.3,(79.3-85.0),Washington
Oral Health,Had dental insurance during pregnancy,2015,1167,84.9,(82.2-87.2),Washington
Pre-pregnancy Health Insurance Status,Private insurance,2012,962,66.6,(63.0-70.1),Washington
Pre-pregnancy Health Insurance Status,Private insurance,2013,1045,63.1,(59.6-66.5),Washington
Pre-pregnancy Health Insurance Status,Private insurance,2014,1148,64.1,(60.8-67.2),Washington
Pre-pregnancy Health Insurance Status,Private insurance,2015,1148,62.8,(59.6-65.9),Washington
Pre-pregnancy Health Insurance Status,Medicaid,2012,962,12.7,(10.1-15.9),Washington
Pre-pregnancy Health Insurance Status,Medicaid,2013,1045,10.9,(8.8-13.5),Washington
Pre-pregnancy Health Insurance Status,Medicaid,2014,1148,15.2,(12.8-17.9),Washington
Pre-pregnancy Health Insurance Status,Medicaid,2015,1148,20.4,(17.7-23.3),Washington
Pre-pregnancy Health Insurance Status,No insurance,2012,962,20.6,(17.9-23.6),Washington
Pre-pregnancy Health Insurance Status,No insurance,2013,1045,26.0,(23.0-29.2),Washington
Pre-pregnancy Health Insurance Status,No insurance,2014,1148,20.7,(18.1-23.5),Washington
Pre-pregnancy Health Insurance Status,No insurance,2015,1148,16.8,(14.5-19.3),Washington
Health Insurance Status During Pregnancy,Private insurance,2012,924,64.3,(60.5-68.0),Washington
Health Insurance Status During Pregnancy,Private insurance,2013,1000,64.1,(60.5-67.5),Washington
Health Insurance Status During Pregnancy,Private insurance,2014,1112,61.8,(58.4-65.0),Washington
Health Insurance Status During Pregnancy,Private insurance,2015,1112,62.1,(58.8-65.3),Washington
Health Insurance Status During Pregnancy,Medicaid,2012,924,34.2,(30.6-38.0),Washington
Health Insurance Status During Pregnancy,Medicaid,2013,1000,34.3,(30.9-37.8),Washington
Health Insurance Status During Pregnancy,Medicaid,2014,1112,36.8,(33.5-40.1),Washington
Health Insurance Status During Pregnancy,Medicaid,2015,1112,36.9,(33.8-40.2),Washington
Health Insurance Status During Pregnancy,No insurance,2012,995,2.1,(1.3-3.6),Washington
Health Insurance Status During Pregnancy,No insurance,2013,1065,1.9,(1.2-3.1),Washington
Health Insurance Status During Pregnancy,No insurance,2014,1174,1.7,(1.1-2.8),Washington
Health Insurance Status During Pregnancy,No insurance,2015,1206,1.0,(0.5-1.9),Washington
Health Insurance Status Postpartum,Private insurance,2012,944,63.6,(59.9-67.2),Washington
Health Insurance Status Postpartum,Private insurance,2013,1022,61.8,(58.2-65.3),Washington
Health Insurance Status Postpartum,Private insurance,2014,1100,62.7,(59.4-66.0),Washington
Health Insurance Status Postpartum,Private insurance,2015,1122,61.7,(58.4-64.9),Washington
Health Insurance Status Postpartum,Medicaid,2012,944,15.0,(12.3-18.2),Washington
Health Insurance Status Postpartum,Medicaid,2013,1022,20.4,(17.5-23.7),Washington
Health Insurance Status Postpartum,Medicaid,2014,1100,27.2,(24.1-30.5),Washington
Health Insurance Status Postpartum,Medicaid,2015,1122,26.8,(23.8-30.1),Washington
Health Insurance Status Postpartum,No insurance,2012,989,20.2,(17.4-23.4),Washington
Health Insurance Status Postpartum,No insurance,2013,1069,17.0,(14.5-19.8),Washington
Health Insurance Status Postpartum,No insurance,2014,1159,9.6,(7.9-11.5),Washington
Health Insurance Status Postpartum,No insurance,2015,1203,10.7,(8.9-12.7),Washington
Infant Sleep Practices,Baby most often laid on back to sleep,2012,982,76.1,(72.5-79.4),Washington
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1047,82.1,(79.1-84.7),Washington
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1142,78.8,(75.8-81.4),Washington
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1189,82.5,(79.8-84.9),Washington
Breastfeeding Practices,Ever breastfed,2012,987,95.7,(93.7-97.0),Washington
Breastfeeding Practices,Ever breastfed,2013,1054,94.7,(92.6-96.2),Washington
Breastfeeding Practices,Ever breastfed,2014,1153,96.9,(95.4-97.9),Washington
Breastfeeding Practices,Ever breastfed,2015,1191,96.3,(94.7-97.4),Washington
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,980,80.6,(77.3-83.5),Washington
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1045,78.7,(75.4-81.7),Washington
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1142,83.8,(81.0-86.2),Washington
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1187,82.5,(79.6-85.0),Washington
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1147,32.7,(29.2-36.3),WestVirginia
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1415,29.0,(26.0-32.2),WestVirginia
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,1264,32.3,(29.0-35.9),WestVirginia
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1175,35.5,(32.0-39.1),WestVirginia
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1163,30.5,(27.1-34.1),WestVirginia
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1427,32.0,(28.8-35.3),WestVirginia
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,1285,29.8,(26.6-33.3),WestVirginia
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1175,31.4,(28.0-35.0),WestVirginia
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1163,42.0,(38.3-45.7),WestVirginia
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1425,44.4,(41.0-47.9),WestVirginia
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,1285,44.2,(40.6-47.8),WestVirginia
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1176,49.3,(45.6-53.1),WestVirginia
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,1138,6.4,(4.8-8.4),WestVirginia
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1411,5.0,(3.7-6.6),WestVirginia
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,1270,4.9,(3.6-6.6),WestVirginia
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1160,3.9,(2.7-5.5),WestVirginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,1138,20.2,(17.3-23.4),WestVirginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1411,26.7,(23.7-29.9),WestVirginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,1270,24.3,(21.3-27.6),WestVirginia
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1160,23.1,(20.1-26.4),WestVirginia
Pre-pregnancy Weight,Obese (BMI >30),2012,1138,25.5,(22.4-29.0),WestVirginia
Pre-pregnancy Weight,Obese (BMI >30),2013,1411,27.6,(24.6-30.9),WestVirginia
Pre-pregnancy Weight,Obese (BMI >30),2014,1270,28.3,(25.1-31.7),WestVirginia
Pre-pregnancy Weight,Obese (BMI >30),2015,1160,30.3,(26.9-33.9),WestVirginia
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,1147,44.1,(40.4-47.9),WestVirginia
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1424,42.3,(38.9-45.7),WestVirginia
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,1258,40.8,(37.3-44.4),WestVirginia
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1164,42.5,(38.8-46.2),WestVirginia
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,1145,28.1,(24.8-31.5),WestVirginia
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1425,25.1,(22.3-28.2),WestVirginia
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,1259,26.1,(23.1-29.4),WestVirginia
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1166,25.2,(22.1-28.5),WestVirginia
Substance Use,Any cigarette smoking postpartum,2012,1144,34.9,(31.5-38.6),WestVirginia
Substance Use,Any cigarette smoking postpartum,2013,1424,32.4,(29.3-35.7),WestVirginia
Substance Use,Any cigarette smoking postpartum,2014,1259,33.1,(29.8-36.6),WestVirginia
Substance Use,Any cigarette smoking postpartum,2015,1167,32.3,(28.9-35.8),WestVirginia
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,1156,47.6,(43.9-51.4),WestVirginia
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1436,45.4,(42.0-48.9),WestVirginia
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,1292,45.9,(42.3-49.5),WestVirginia
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1182,47.8,(44.1-51.6),WestVirginia
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,1158,2.6,(1.7-4.1),WestVirginia
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1434,1.8,(1.1-2.9),WestVirginia
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,1297,2.5,(1.6-3.9),WestVirginia
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1182,2.7,(1.7-4.2),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,1159,4.5,(3.2-6.3),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1434,3.8,(2.7-5.3),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,1296,3.1,(2.1-4.6),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1179,2.3,(1.4-3.6),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,1160,3.2,(2.1-4.8),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1437,3.2,(2.2-4.6),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,1296,3.0,(2.0-4.6),WestVirginia
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1180,2.0,(1.2-3.3),WestVirginia
Depression,Told by a provider had depression before pregnancy,2012,1136,15.6,(13.1-18.6),WestVirginia
Depression,Told by a provider had depression before pregnancy,2013,1417,16.7,(14.3-19.5),WestVirginia
Depression,Told by a provider had depression before pregnancy,2014,1264,15.4,(13.0-18.1),WestVirginia
Depression,Told by a provider had depression before pregnancy,2015,1170,17.6,(14.9-20.6),WestVirginia
Depression,Self-reported postpartum depressive symptoms,2012,1151,18.6,(15.8-21.6),WestVirginia
Depression,Self-reported postpartum depressive symptoms,2013,1435,16.9,(14.4-19.6),WestVirginia
Depression,Self-reported postpartum depressive symptoms,2014,1293,13.8,(11.5-16.4),WestVirginia
Depression,Self-reported postpartum depressive symptoms,2015,1174,15.4,(12.9-18.3),WestVirginia
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,971,42.3,(38.3-46.3),WestVirginia
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1202,43.9,(40.2-47.7),WestVirginia
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,1042,37.4,(33.6-41.3),WestVirginia
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,974,31.4,(27.7-35.3),WestVirginia
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,1142,13.4,(11.0-16.2),WestVirginia
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1420,15.5,(13.1-18.2),WestVirginia
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,1269,15.8,(13.3-18.6),WestVirginia
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1174,16.3,(13.8-19.3),WestVirginia
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,1155,82.3,(79.3-85.0),WestVirginia
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1429,83.5,(80.8-85.9),WestVirginia
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,1293,83.2,(80.3-85.7),WestVirginia
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1178,82.1,(79.1-84.8),WestVirginia
Health Care Services,Talked to provider about improving health before pregnancy,2012,1144,19.4,(16.6-22.5),WestVirginia
Health Care Services,Talked to provider about improving health before pregnancy,2013,1407,13.6,(11.4-16.1),WestVirginia
Health Care Services,Talked to provider about improving health before pregnancy,2014,1262,13.7,(11.3-16.4),WestVirginia
Health Care Services,Talked to provider about improving health before pregnancy,2015,1173,16.3,(13.8-19.3),WestVirginia
Health Care Services,Began prenatal care in 1st trimester,2012,1143,86.6,(83.8-89.0),WestVirginia
Health Care Services,Began prenatal care in 1st trimester,2013,1434,85.3,(82.7-87.6),WestVirginia
Health Care Services,Began prenatal care in 1st trimester,2014,1278,86.6,(84.0-88.9),WestVirginia
Health Care Services,Began prenatal care in 1st trimester,2015,1163,88.0,(85.4-90.2),WestVirginia
Health Care Services,Took childbirth class,2012,1141,16.3,(13.7-19.3),WestVirginia
Health Care Services,Took childbirth class,2013,1418,18.0,(15.4-20.8),WestVirginia
Health Care Services,Took childbirth class,2014,1254,16.2,(13.6-19.1),WestVirginia
Health Care Services,Took childbirth class,2015,1150,15.1,(12.6-18.1),WestVirginia
Health Care Services,Had home visitor during pregnancy,2012,1150,11.7,(9.5-14.4),WestVirginia
Health Care Services,Had home visitor during pregnancy,2013,1427,10.5,(8.5-12.8),WestVirginia
Health Care Services,Had home visitor during pregnancy,2014,1264,11.3,(9.3-13.8),WestVirginia
Health Care Services,Had home visitor during pregnancy,2015,1167,8.7,(6.8-11.1),WestVirginia
Health Care Services,Had flu shot before or during pregnancy,2012,1136,42.9,(39.2-46.7),WestVirginia
Health Care Services,Had flu shot before or during pregnancy,2013,1404,50.0,(46.6-53.5),WestVirginia
Health Care Services,Had flu shot before or during pregnancy,2014,1249,55.2,(51.6-58.9),WestVirginia
Health Care Services,Had flu shot before or during pregnancy,2015,1151,52.5,(48.7-56.2),WestVirginia
Health Care Services,Had maternal postpartum checkup,2012,1152,85.7,(82.9-88.1),WestVirginia
Health Care Services,Had maternal postpartum checkup,2013,1433,84.1,(81.4-86.5),WestVirginia
Health Care Services,Had maternal postpartum checkup,2014,1298,85.1,(82.4-87.5),WestVirginia
Health Care Services,Had maternal postpartum checkup,2015,1176,87.6,(84.9-89.8),WestVirginia
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,1161,49.2,(45.4-52.9),WestVirginia
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1421,51.7,(48.2-55.1),WestVirginia
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1285,49.3,(45.7-52.9),WestVirginia
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1180,49.5,(45.7-53.2),WestVirginia
Oral Health,Teeth cleaned during pregnancy,2012,1142,40.5,(36.9-44.3),WestVirginia
Oral Health,Teeth cleaned during pregnancy,2013,1423,41.2,(37.8-44.6),WestVirginia
Oral Health,Teeth cleaned during pregnancy,2014,1260,37.9,(34.4-41.5),WestVirginia
Oral Health,Teeth cleaned during pregnancy,2015,1155,39.3,(35.6-43.0),WestVirginia
Oral Health,Had dental insurance during pregnancy,2012,1136,59.0,(55.2-62.7),WestVirginia
Oral Health,Had dental insurance during pregnancy,2013,1414,62.9,(59.5-66.2),WestVirginia
Oral Health,Had dental insurance during pregnancy,2014,1237,63.1,(59.4-66.5),WestVirginia
Oral Health,Had dental insurance during pregnancy,2015,1125,58.6,(54.7-62.3),WestVirginia
Pre-pregnancy Health Insurance Status,Private insurance,2012,1128,47.1,(43.4-50.9),WestVirginia
Pre-pregnancy Health Insurance Status,Private insurance,2013,1401,46.6,(43.2-50.1),WestVirginia
Pre-pregnancy Health Insurance Status,Private insurance,2014,1243,47.3,(43.6-51.0),WestVirginia
Pre-pregnancy Health Insurance Status,Private insurance,2015,1166,50.9,(47.2-54.7),WestVirginia
Pre-pregnancy Health Insurance Status,Medicaid,2012,1128,23.8,(20.7-27.2),WestVirginia
Pre-pregnancy Health Insurance Status,Medicaid,2013,1401,22.5,(19.7-25.6),WestVirginia
Pre-pregnancy Health Insurance Status,Medicaid,2014,1243,27.8,(24.6-31.2),WestVirginia
Pre-pregnancy Health Insurance Status,Medicaid,2015,1166,38.7,(35.2-42.5),WestVirginia
Pre-pregnancy Health Insurance Status,No insurance,2012,1128,28.5,(25.3-32.1),WestVirginia
Pre-pregnancy Health Insurance Status,No insurance,2013,1401,30.5,(27.4-33.8),WestVirginia
Pre-pregnancy Health Insurance Status,No insurance,2014,1243,24.1,(21.1-27.4),WestVirginia
Pre-pregnancy Health Insurance Status,No insurance,2015,1166,10.2,(8.2-12.8),WestVirginia
Health Insurance Status During Pregnancy,Private insurance,2012,1125,43.0,(39.3-46.8),WestVirginia
Health Insurance Status During Pregnancy,Private insurance,2013,1405,43.7,(40.3-47.2),WestVirginia
Health Insurance Status During Pregnancy,Private insurance,2014,1262,42.5,(38.9-46.1),WestVirginia
Health Insurance Status During Pregnancy,Private insurance,2015,1153,46.3,(42.5-50.1),WestVirginia
Health Insurance Status During Pregnancy,Medicaid,2012,1125,54.0,(50.2-57.8),WestVirginia
Health Insurance Status During Pregnancy,Medicaid,2013,1405,52.8,(49.4-56.3),WestVirginia
Health Insurance Status During Pregnancy,Medicaid,2014,1262,56.3,(52.6-59.9),WestVirginia
Health Insurance Status During Pregnancy,Medicaid,2015,1153,52.1,(48.3-55.9),WestVirginia
Health Insurance Status During Pregnancy,No insurance,2012,1152,1.5,(0.8-2.7),WestVirginia
Health Insurance Status During Pregnancy,No insurance,2013,1438,1.8,(1.1-3.0),WestVirginia
Health Insurance Status During Pregnancy,No insurance,2014,1295,0.8,(0.3-1.7),WestVirginia
Health Insurance Status During Pregnancy,No insurance,2015,1177,1.4,(0.7-2.6),WestVirginia
Health Insurance Status Postpartum,Private insurance,2012,1136,44.1,(40.4-47.9),WestVirginia
Health Insurance Status Postpartum,Private insurance,2013,1418,44.0,(40.6-47.4),WestVirginia
Health Insurance Status Postpartum,Private insurance,2014,1278,41.7,(38.1-45.4),WestVirginia
Health Insurance Status Postpartum,Private insurance,2015,1173,43.6,(39.9-47.4),WestVirginia
Health Insurance Status Postpartum,Medicaid,2012,1136,22.7,(19.7-26.0),WestVirginia
Health Insurance Status Postpartum,Medicaid,2013,1418,30.8,(27.6-34.0),WestVirginia
Health Insurance Status Postpartum,Medicaid,2014,1278,46.6,(43.0-50.3),WestVirginia
Health Insurance Status Postpartum,Medicaid,2015,1173,50.8,(47.1-54.6),WestVirginia
Health Insurance Status Postpartum,No insurance,2012,1164,31.8,(28.4-35.4),WestVirginia
Health Insurance Status Postpartum,No insurance,2013,1447,24.7,(21.8-27.8),WestVirginia
Health Insurance Status Postpartum,No insurance,2014,1305,11.4,(9.3-13.9),WestVirginia
Health Insurance Status Postpartum,No insurance,2015,1182,5.3,(3.8-7.3),WestVirginia
Infant Sleep Practices,Baby most often laid on back to sleep,2012,1092,77.6,(74.2-80.6),WestVirginia
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1379,76.6,(73.5-79.4),WestVirginia
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1229,79.5,(76.4-82.3),WestVirginia
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1133,83.7,(80.7-86.3),WestVirginia
Breastfeeding Practices,Ever breastfed,2012,1111,66.0,(62.3-69.5),WestVirginia
Breastfeeding Practices,Ever breastfed,2013,1403,66.6,(63.2-69.8),WestVirginia
Breastfeeding Practices,Ever breastfed,2014,1251,68.4,(65.0-71.7),WestVirginia
Breastfeeding Practices,Ever breastfed,2015,1141,73.2,(69.8-76.4),WestVirginia
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,1100,36.2,(32.6-39.9),WestVirginia
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1393,37.2,(33.9-40.6),WestVirginia
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1238,41.9,(38.3-45.6),WestVirginia
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1127,44.9,(41.2-48.7),WestVirginia
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1492,43.5,(39.5-47.5),Wisconsin
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1538,42.8,(38.9-46.8),Wisconsin
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,1496,43.5,(39.6-47.4),Wisconsin
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1459,43.3,(39.4-47.4),Wisconsin
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1509,31.8,(28.2-35.6),Wisconsin
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1529,30.0,(26.4-34.0),Wisconsin
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,1504,27.9,(24.5-31.6),Wisconsin
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1467,32.0,(28.3-36.0),Wisconsin
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1509,48.8,(44.8-52.8),Wisconsin
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1527,49.4,(45.5-53.4),Wisconsin
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,1502,50.3,(46.4-54.3),Wisconsin
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1465,50.6,(46.6-54.7),Wisconsin
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,1450,2.4,(1.4-4.1),Wisconsin
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1494,2.5,(1.6-4.0),Wisconsin
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,1457,1.6,(0.9-3.0),Wisconsin
